x,y,i,key
632,110,0.8478469848632812,0
694,266,0.8764396905899048,1
571,265,0.7988899946212769,2
540,485,0.76179039478302,3
541,703,0.64383465051651,4
817,267,0.7150634527206421,5
879,515,0.7152306437492371,6
817,641,0.8297248482704163,7
601,673,0.5666937828063965,8
539,986,0.6393142342567444,9
416,1299,0.6655071973800659,10
756,673,0.5665058493614197,11
755,986,0.662790060043335,12
724,1299,0.6207408905029297,13
632,108,0.8340811729431152,14
663,108,0.8742763996124268,15
754,109,0.8038837909698486,17
